iter	Logloss
0	0.6616964174
1	0.6351994284
2	0.6094361267
3	0.5876336943
4	0.5659769566
5	0.546356755
6	0.5283364019
7	0.5111292042
8	0.4972454851
9	0.4845498255
10	0.4719725292
11	0.4605183888
12	0.4501090689
13	0.4405049532
14	0.4318626873
15	0.4234372901
16	0.415630202
17	0.4085740433
18	0.4023099996
19	0.3961155015
20	0.3904593832
21	0.3849361794
22	0.3797555572
23	0.3756374712
24	0.3712011813
25	0.3671553193
26	0.3631146373
27	0.3597058946
28	0.3566358747
29	0.35398413
30	0.3507808858
31	0.3475900967
32	0.3450119723
33	0.3428964786
34	0.3403621783
35	0.3383377147
36	0.3358583699
37	0.3341705257
38	0.3327951835
39	0.330869247
40	0.3289292863
41	0.3271504525
42	0.3258775253
43	0.324646122
44	0.3234276961
45	0.3217567355
46	0.3205465518
47	0.3195412682
48	0.318511839
49	0.3171193849
50	0.3164594091
51	0.3155645285
52	0.3147511618
53	0.3139752851
54	0.3133166771
55	0.3124861508
56	0.3117020567
57	0.3106220174
58	0.3099218585
59	0.3092823756
60	0.3087567134
61	0.3077931255
62	0.3069572383
63	0.3057382111
64	0.3049602254
65	0.304277959
66	0.3033582584
67	0.302653159
68	0.3021730675
69	0.301481834
70	0.3008968613
71	0.3004085785
72	0.2998026673
73	0.2993157628
74	0.2986921413
75	0.2976128335
76	0.2972001159
77	0.2968022012
78	0.2956643367
79	0.2949820662
80	0.2942345143
81	0.293565482
82	0.2930192902
83	0.2925885125
84	0.2920882013
85	0.2916437519
86	0.2912372574
87	0.2906879695
88	0.290367872
89	0.2900370244
90	0.2896221313
91	0.2893282221
92	0.2890489214
93	0.2886977487
94	0.2881874002
95	0.2879307307
96	0.2874076916
97	0.2871522149
98	0.2866916061
99	0.2863214318
100	0.2859367924
101	0.2853247712
102	0.2850029496
103	0.2845249502
104	0.2838304305
105	0.2833763188
106	0.2828450696
107	0.2825307753
108	0.2821260752
109	0.2817974442
110	0.2815389055
111	0.2812268479
112	0.2808656225
113	0.2804469649
114	0.2800619294
115	0.2797248104
116	0.2788711642
117	0.2784146198
118	0.2781160839
119	0.2778454927
120	0.277703642
121	0.2773580547
122	0.2769061579
123	0.2765428761
124	0.2762699321
125	0.2759045504
126	0.2754625917
127	0.275184738
128	0.2746502611
129	0.2743833106
130	0.2739498149
131	0.2734416691
132	0.2732271539
133	0.272999073
134	0.2727600527
135	0.272419272
136	0.2720511511
137	0.271676679
138	0.2714016558
139	0.2709251031
140	0.2705806954
141	0.2701658344
142	0.2698094114
143	0.2694979439
144	0.2692177184
145	0.2689058339
146	0.2686781423
147	0.2684901876
148	0.2682839431
149	0.2680468574
150	0.2675823299
151	0.2673544152
152	0.2671689911
153	0.2667682117
154	0.2663698402
155	0.2661793025
156	0.2659172446
157	0.2656907241
158	0.2653382037
159	0.2650944464
160	0.2648826524
161	0.2646771647
162	0.2641945488
163	0.2639373561
164	0.2634806254
165	0.2631855044
166	0.262780912
167	0.2625566088
168	0.2622654876
169	0.2620531343
170	0.2617851535
171	0.2615560795
172	0.2612979821
173	0.2611321065
174	0.2609662441
175	0.2607154555
176	0.2605622703
177	0.2604248118
178	0.2602746669
179	0.2601141138
180	0.2598251991
181	0.2595589292
182	0.2593299959
183	0.259057329
184	0.2588995784
185	0.2587448729
186	0.2586045846
187	0.2582823012
188	0.2581604365
189	0.257956664
190	0.257852957
191	0.2576086371
192	0.2573889611
193	0.2569881965
194	0.2568192514
195	0.2565319027
196	0.2563119544
197	0.2561485799
198	0.2559265098
199	0.255781096
200	0.2555549034
201	0.2552965218
202	0.2550367907
203	0.2548595851
204	0.2546383595
205	0.2544056365
206	0.2542350082
207	0.2540295945
208	0.2538302091
209	0.2535619171
210	0.2533325486
211	0.2530655801
212	0.2527305883
213	0.2525695628
214	0.2523062253
215	0.2521684518
216	0.2517843525
217	0.2516256299
218	0.2513924246
219	0.251237124
220	0.2510614501
221	0.2508560103
222	0.2507192348
223	0.2505672408
224	0.250390195
225	0.2501515641
226	0.2499728718
227	0.2498537062
228	0.2496888398
229	0.2495432477
230	0.2492303937
231	0.2490750869
232	0.248727835
233	0.2484942147
234	0.2483563036
235	0.248207536
236	0.2480155833
237	0.2478435138
238	0.2476724853
239	0.2475384853
240	0.2473325205
241	0.247129518
242	0.2468923964
243	0.2466662175
244	0.2462326073
245	0.2460337327
246	0.2458293885
247	0.2456643882
248	0.2454342553
249	0.2452368551
250	0.2448672057
251	0.2447369402
252	0.2443993497
253	0.2441735798
254	0.2439189606
255	0.2437595472
256	0.2435571131
257	0.2433753952
258	0.243130989
259	0.2428989933
260	0.2427246404
261	0.2424959448
262	0.2423627272
263	0.2421941451
264	0.2420494355
265	0.2418172255
266	0.241695901
267	0.2414740734
268	0.2413385956
269	0.2410431037
270	0.2407430806
271	0.2403765481
272	0.2401611701
273	0.2399667108
274	0.2396401067
275	0.2394893799
276	0.2393024091
277	0.2390843453
278	0.2389122383
279	0.2387714529
280	0.2386520177
281	0.2384703893
282	0.2382677515
283	0.238065315
284	0.2377661777
285	0.2376175509
286	0.2374489038
287	0.2373165467
288	0.2371308027
289	0.2368956123
290	0.2367231
291	0.2364386265
292	0.2361126695
293	0.2358764979
294	0.2356768362
295	0.2353981151
296	0.2352098677
